2023/06/07 18:27:17 [error] 32600#4776: *19478 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /?wc-ajax=get_refreshed_fragments&customize_changeset_uuid=48064ef8-d560-4612-90c4-fefab37d464a&customize_preview_nonce=fe9ea7e29b HTTP/1.0", upstream: "fastcgi://127.0.0.1:10016", host: "planty.local", referrer: "http://planty.local/?customize_changeset_uuid=48064ef8-d560-4612-90c4-fefab37d464a&customize_theme=astra-child&customize_messenger_channel=preview-0"
2023/06/08 23:01:19 [error] 32600#4776: *28294 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-login.php?interim-login=1&wp_lang=fr_FR HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=25&action=elementor"
2023/06/08 23:02:28 [error] 32600#4776: *28325 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10016", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=25&action=elementor"
2023/06/14 00:29:28 [error] 32600#4776: *46606 connect() failed (10061: FormatMessage() error:(15105)) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=25&action=elementor"
2023/06/15 19:40:41 [error] 10800#14668: *3772 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=25&action=elementor"
2023/06/15 19:40:41 [error] 10800#14668: *3773 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10016", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=25&action=elementor"
2023/06/15 19:40:45 [error] 10800#14668: *3778 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=25&action=elementor"
2023/06/16 15:16:05 [error] 10800#14668: *7835 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /?customize_autosaved=on&customize_changeset_uuid=186e05f1-445e-4add-a473-e7d722e9b3f5&customize_preview_nonce=4539a3ff2e HTTP/1.0", upstream: "fastcgi://127.0.0.1:10016", host: "planty.local", referrer: "http://planty.local/?customize_changeset_uuid=186e05f1-445e-4add-a473-e7d722e9b3f5&customize_theme=astra-child&customize_messenger_channel=preview-3&customize_autosaved=on"
2023/06/16 15:16:06 [error] 10800#14668: *7833 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /?wc-ajax=get_refreshed_fragments&customize_changeset_uuid=186e05f1-445e-4add-a473-e7d722e9b3f5&customize_autosaved=on&customize_preview_nonce=4539a3ff2e HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/?customize_changeset_uuid=186e05f1-445e-4add-a473-e7d722e9b3f5&customize_theme=astra-child&customize_messenger_channel=preview-3&customize_autosaved=on"
2023/06/16 15:16:06 [error] 10800#14668: *7839 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /?customize_autosaved=on&customize_changeset_uuid=186e05f1-445e-4add-a473-e7d722e9b3f5&customize_preview_nonce=4539a3ff2e HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/?customize_changeset_uuid=186e05f1-445e-4add-a473-e7d722e9b3f5&customize_theme=astra-child&customize_messenger_channel=preview-3&customize_autosaved=on"
2023/06/16 15:16:06 [error] 10800#14668: *7837 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /?customize_changeset_uuid=186e05f1-445e-4add-a473-e7d722e9b3f5&customize_theme=astra-child&customize_messenger_channel=preview-4&customize_autosaved=on HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/wp-admin/customize.php?return=%2Fwp-admin%2Fupload.php"
2023/06/16 15:16:06 [error] 10800#14668: *7841 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /?customize_changeset_uuid=186e05f1-445e-4add-a473-e7d722e9b3f5&customize_theme=astra-child&customize_messenger_channel=preview-5&customize_autosaved=on HTTP/1.0", upstream: "fastcgi://php", host: "planty.local", referrer: "http://planty.local/wp-admin/customize.php?return=%2Fwp-admin%2Fupload.php"
2023/07/13 11:37:35 [error] 10800#14668: *109020 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/elementor/v1/globals HTTP/1.0", upstream: "fastcgi://127.0.0.1:10015", host: "planty.local", referrer: "http://planty.local/wp-admin/post.php?post=25&action=elementor"
